Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final
car,2,0.6113,144,14,189,24
car,3,0.8105,477,7,279,512
car,6,0.7982,555,6,923,464
car,4,0.7957,518,7,914,450
car,10,0.7829,480,5,312,512
car,8,0.7636,511,4,680,510
car,12,0.7703,522,20,680,527
car,18,0.7865,520,4,642,403
car,14,0.7479,527,11,671,447
car,16,0.7420,571,18,900,439
car,17,0.7939,560,4,911,451
car,19,0.7950,524,3,691,495
car,30,0.5979,538,11,552,13
car,40,0.7292,343,25,340,26
car,22,0.8076,530,7,644,378
car,42,0.5838,314,36,319,41
car,45,0.6329,476,21,475,27
car,47,0.6336,357,39,363,42
car,37,0.8113,526,22,523,28
car,23,0.8007,508,3,411,469
car,21,0.7881,484,3,406,488
car,32,0.7069,523,6,539,29
car,50,0.6648,481,40,484,44
car,46,0.7729,510,41,519,42
car,41,0.8175,540,13,548,46
car,43,0.7815,507,37,510,59
car,26,0.7915,539,12,644,477
car,29,0.8309,545,3,882,447
car,53,0.9076,552,49,562,65
car,27,0.8193,561,3,888,458
car,25,0.7614,569,5,901,472
car,28,0.8277,478,4,94,484
car,63,0.7823,556,74,546,75
car,58,0.7587,486,56,487,57
person,1,0.5189,917,18,951,138
car,24,0.7578,499,10,513,54
car,36,0.6494,323,14,335,60
person,9,0.6104,910,59,952,132
car,62,0.9175,499,73,500,76
car,54,0.7012,621,35,664,53
car,44,0.8550,530,50,674,479
car,61,0.9075,514,82,505,90
car,48,0.8701,534,67,392,488
car,67,0.8169,790,50,765,47
car,70,0.9047,529,53,539,55
car,38,0.8286,550,19,904,436
car,75,0.7346,824,57,811,56
car,73,0.8053,496,45,496,46
car,52,0.8740,510,68,398,500
car,51,0.8083,531,38,537,38
