ID,Type of Object,Max Confidence,Avg Confidence,On-screen Duration

1,car,0.571293,0.360627,0.0319965
7,car,0.668665,0.49397,0.0280012
11,car,0.353299,0.353299,0
4,car,0.840847,0.529526,0.193234
12,car,0.61017,0.446714,0.162826
14,car,0.342383,0.295424,0.0406172
18,car,0.312592,0.312592,0
10,car,0.704238,0.441413,1.26123
15,car,0.770636,0.439454,0.286075
19,car,0.721169,0.486793,0.0343079
13,car,0.216317,0.209956,0.827753
11,car,0.210013,0.210013,0
7,car,0.634201,0.443245,0.444063
23,car,0.394093,0.394093,0
24,car,0.897506,0.810103,0.164257
9,road_sign,0.612769,0.387261,2.65994
13,car,0.221459,0.221459,0
0,car,0.925851,0.742623,2.73315
18,car,0.856105,0.680673,0.246109
21,car,0.346458,0.316668,0.733627
14,car,0.893278,0.593645,0.49123
19,car,0.633852,0.387344,0.123089
16,car,0.333636,0.257628,1.87666
11,car,0.673973,0.439549,0.12475
7,car,0.220424,0.220424,0
8,car,0.931621,0.760145,3.45948
25,car,0.753465,0.467534,0.286422
26,car,0.334305,0.292625,1.06616
28,car,0.319418,0.319418,0
3,car,0.777995,0.459389,5.52425
2,car,0.850077,0.615193,6.01465
17,road_sign,0.628788,0.363708,5.00148
0,car,0.686727,0.618362,0.0389526
2,car,0.8376,0.611293,0.900056
15,car,0.263643,0.230494,0.368115
7,car,0.523271,0.363016,0.943806
3,car,0.941186,0.810521,2.15603
6,car,0.943951,0.798192,2.27045
20,car,0.425357,0.362564,0.31662
4,car,0.94315,0.795689,2.98346
10,car,0.941351,0.782923,2.78951
8,car,0.960886,0.763634,3.24089
12,car,0.937769,0.770343,3.12116
18,car,0.933794,0.786492,2.28073
14,car,0.919308,0.747884,3.25094
11,car,0.330967,0.250375,3.6871
16,car,0.945289,0.742013,3.59045
17,car,0.932857,0.793882,2.8432
19,car,0.957163,0.794976,2.56163
33,car,0.66365,0.399205,0.118683
30,car,0.881257,0.597895,0.329391
22,car,0.958079,0.807551,2.09077
40,car,0.87759,0.729169,0.0988641
42,car,0.654868,0.583775,0.105158
45,car,0.757629,0.632868,0.125711
47,car,0.761746,0.633649,0.211151
37,car,0.946445,0.811266,0.785059
23,car,0.965212,0.800749,2.52453
21,car,0.937241,0.788113,3.24172
32,car,0.901047,0.70693,1.17167
50,car,0.783145,0.664848,0.152161
46,car,0.925748,0.772927,0.858344
41,car,0.964549,0.817485,1.18221
43,car,0.909296,0.781506,1.39778
26,car,0.962489,0.791532,2.95209
29,car,0.971794,0.830893,2.44683
53,car,0.971876,0.907565,0.892197
27,car,0.95236,0.819337,2.86998
25,car,0.935721,0.761433,3.53095
28,car,0.942664,0.827665,2.91503
63,car,0.805955,0.782343,0.0186148
58,car,0.856475,0.758713,0.656524
1,person,0.887116,0.518931,7.98495
24,car,0.953906,0.757835,3.93145
36,car,0.883439,0.649397,2.43308
9,person,0.860159,0.610431,7.12917
62,car,0.948542,0.917499,0.477074
54,car,0.767966,0.701155,1.35936
44,car,0.964958,0.855011,2.31249
61,car,0.967083,0.907511,1.09744
48,car,0.97328,0.870141,2.22237
67,car,0.865823,0.816882,0.4111
70,car,0.920526,0.904652,0.167656
38,car,0.956101,0.828587,3.3517
75,car,0.792939,0.734562,0.0780173
73,car,0.850077,0.805289,0.53914
52,car,0.972686,0.873984,2.89806
51,car,0.933139,0.808299,2.98484
64,car,0.944347,0.849867,2.13373
56,car,0.966209,0.875545,3.27317
59,car,0.9677,0.861342,3.2674
68,car,0.919642,0.785452,2.18849
60,car,0.96083,0.878311,3.30151
80,car,0.835543,0.824685,0.00533815
79,car,0.89929,0.768861,0.489607
78,car,0.901714,0.780747,0.51528
77,car,0.942745,0.879747,0.836636
76,car,0.892846,0.814312,0.908161
74,car,0.976412,0.902641,1.504
71,car,0.965313,0.929754,1.72845
69,car,0.967178,0.893028,2.17091
66,car,0.956915,0.876584,2.50832
65,car,0.955848,0.839495,2.52393
57,car,0.96826,0.907075,3.49282
55,car,0.968991,0.882233,3.71568
49,car,0.97096,0.891183,4.09183
72,car,0.96066,0.893361,1.5897
13,car,0.925231,0.699358,9.42956
5,car,0.958977,0.789705,9.82127
34,car,0.960773,0.815991,5.11177
31,car,0.910773,0.780677,5.17154
35,car,0.972244,0.927954,5.10665
39,car,0.972365,0.871054,5.00207
81,car,0.879035,0.746513,0.445205
83,car,0.8376,0.611293,0.909315
88,car,0.523271,0.363016,0.934866
96,car,0.263643,0.230494,0.393114
84,car,0.941186,0.810521,2.15931
87,car,0.943951,0.798192,2.27254
101,car,0.425357,0.362564,0.300224
91,car,0.941351,0.782923,2.77216
85,car,0.94315,0.795689,2.98479
89,car,0.960886,0.763634,3.2348
93,car,0.937769,0.770343,3.1255
99,car,0.933794,0.786492,2.2769
95,car,0.919308,0.747884,3.22774
92,car,0.330967,0.250375,3.68188
97,car,0.945289,0.742013,3.5886
98,car,0.932857,0.793882,2.8791
100,car,0.957163,0.794976,2.5712
114,car,0.66365,0.399205,0.125912
111,car,0.881257,0.597895,0.333
121,car,0.87759,0.729169,0.0758557
103,car,0.958079,0.807551,2.09531
123,car,0.654868,0.583775,0.0943643
126,car,0.757629,0.632868,0.12414
128,car,0.761746,0.633649,0.200505
118,car,0.946445,0.811266,0.756495
104,car,0.965212,0.800749,2.4928
102,car,0.937241,0.788113,3.23942
113,car,0.901047,0.70693,1.17794
131,car,0.783145,0.664848,0.142088
127,car,0.925748,0.772927,0.854361
122,car,0.964549,0.817485,1.17381
124,car,0.909296,0.781506,1.37627
107,car,0.962489,0.791532,2.96423
110,car,0.971794,0.830893,2.45371
134,car,0.971876,0.907565,0.888466
108,car,0.95236,0.819337,2.8735
106,car,0.935721,0.761433,3.52047
109,car,0.942664,0.827665,2.90209
144,car,0.805955,0.782343,0.0109727
139,car,0.856475,0.758713,0.638814
82,person,0.887116,0.518931,8.21874
105,car,0.953906,0.757835,3.94487
117,car,0.883439,0.649397,2.40051
90,person,0.860159,0.610431,7.08097
143,car,0.948542,0.917499,0.462526
135,car,0.767966,0.701155,1.3576
125,car,0.964958,0.855011,2.30465
142,car,0.967083,0.907511,1.08793
129,car,0.97328,0.870141,2.22524
148,car,0.865823,0.816882,0.419241
151,car,0.920526,0.904652,0.172266
119,car,0.956101,0.828587,3.33922
156,car,0.792939,0.734562,0.0943306
154,car,0.850077,0.805289,0.507318
133,car,0.972686,0.873984,2.86497
132,car,0.933139,0.808299,3.00059
145,car,0.944347,0.849867,2.12031
137,car,0.966209,0.875545,3.26627
140,car,0.9677,0.861342,3.24299
149,car,0.919642,0.785452,2.17226
141,car,0.96083,0.878311,3.30178
161,car,0.835543,0.824685,0.0149913
160,car,0.89929,0.768861,0.49859
159,car,0.901714,0.780747,0.51391
158,car,0.942745,0.879747,0.828927
157,car,0.892846,0.814312,0.910925
155,car,0.976412,0.902641,1.47947
152,car,0.965313,0.929754,1.7036
150,car,0.967178,0.893028,2.18129
147,car,0.956915,0.876584,2.50186
146,car,0.955848,0.839495,2.52393
138,car,0.96826,0.907075,3.46444
136,car,0.968991,0.882233,3.6908
130,car,0.97096,0.891183,4.07791
116,car,0.972244,0.927954,5.08101
115,car,0.960773,0.815991,5.08939
112,car,0.910773,0.780677,5.14357
153,car,0.96066,0.893361,1.58049
94,car,0.925231,0.699358,9.3888
86,car,0.958977,0.789705,9.78658
120,car,0.972365,0.871054,4.96384
162,car,0.879035,0.746513,0.460171
164,car,0.8376,0.611293,0.926448
169,car,0.523271,0.363016,0.938826
177,car,0.263643,0.230494,0.396949
0,car,0.859224,0.67694,0.0581607
2,car,0.8376,0.611293,0.913532
7,car,0.523271,0.363016,0.950957
15,car,0.263643,0.230494,0.38614
3,car,0.941186,0.810521,2.18943
6,car,0.943951,0.798192,2.27982
20,car,0.425357,0.362564,0.329343
4,car,0.94315,0.795689,2.99464
10,car,0.941351,0.782923,2.8123
8,car,0.960886,0.763634,3.30439
12,car,0.937769,0.770343,3.19061
18,car,0.933794,0.786492,2.3257
14,car,0.919308,0.747884,3.30038
11,car,0.330967,0.250375,3.74926
16,car,0.945289,0.742013,3.63629
17,car,0.932857,0.793882,2.90949
19,car,0.957163,0.794976,2.58974
33,car,0.66365,0.399205,0.133879
30,car,0.881257,0.597895,0.343655
40,car,0.87759,0.729169,0.0844815
22,car,0.958079,0.807551,2.13546
42,car,0.654868,0.583775,0.111268
45,car,0.757629,0.632868,0.124083
47,car,0.761746,0.633649,0.181877
37,car,0.946445,0.811266,0.758227
23,car,0.965212,0.800749,2.54201
21,car,0.937241,0.788113,3.26423
