Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final
car,15,0.6135,245,220,674,467
car,18,0.6564,836,291,531,195
car,9,0.7073,211,152,541,474
car,23,0.6533,618,257,441,139
car,20,0.6590,878,358,473,128
car,17,0.7064,911,338,495,129
car,10,0.5587,600,246,587,99
car,36,0.5209,447,116,479,126
car,52,0.6984,892,367,604,250
car,19,0.7101,910,338,509,126
car,8,0.5811,424,112,518,462
car,29,0.6058,366,127,703,475
car,62,0.6334,302,141,277,143
car,38,0.5386,269,130,365,490
car,24,0.7336,916,340,516,124
car,34,0.5526,833,323,509,139
car,28,0.6602,401,122,807,506
car,54,0.6014,347,129,181,185
car,44,0.6372,918,312,554,130
car,58,0.7467,281,139,754,496
car,22,0.5168,543,209,579,111
car,60,0.6683,242,147,560,484
car,45,0.5196,853,355,515,114
car,37,0.5836,425,114,679,471
car,64,0.6865,283,135,508,483
car,79,0.6419,546,132,551,133
car,63,0.6202,827,288,548,128
car,31,0.5467,454,150,563,129
car,59,0.7232,404,122,802,508
car,82,0.7238,890,366,574,244
car,61,0.5620,878,320,541,116
car,65,0.5088,873,360,478,114
car,70,0.5409,273,131,371,488
car,100,0.6839,924,322,844,295
car,89,0.6481,313,134,849,508
car,95,0.5251,899,338,439,161
car,115,0.6652,643,271,545,223
car,91,0.5477,847,358,459,155
car,98,0.6722,919,312,505,172
car,55,0.6478,688,280,361,490
car,116,0.6628,850,357,402,180
car,83,0.5082,872,322,514,189
car,113,0.6089,896,365,430,142
car,93,0.6349,901,339,536,114
car,88,0.6442,903,364,562,133
car,85,0.5229,546,257,486,111
car,103,0.5192,391,120,457,448
car,97,0.5852,442,115,481,457
car,96,0.6918,414,117,553,484
car,104,0.6029,669,270,532,130
car,101,0.5621,833,305,420,114
car,130,0.5486,313,131,686,471
car,154,0.6193,414,114,403,120
car,128,0.5799,906,342,505,127
car,145,0.5308,425,120,329,125
car,119,0.5695,533,216,563,132
car,141,0.6528,844,349,493,123
car,171,0.5536,407,154,478,155
car,159,0.5780,346,130,688,472
car,172,0.6108,228,149,543,483
car,170,0.6188,917,343,477,130
car,186,0.5533,719,262,587,231
car,181,0.5455,499,119,530,113
car,144,0.5241,863,302,519,115
car,143,0.5585,454,108,147,162
car,151,0.5203,915,300,583,115
car,122,0.5200,492,126,136,163
car,153,0.7325,399,122,558,489
car,167,0.5022,305,139,891,515
car,189,0.6717,918,341,502,183
car,168,0.5960,294,138,681,477
car,175,0.5256,451,153,541,122
car,138,0.5164,845,325,468,104
car,179,0.5481,216,131,392,462
car,173,0.5865,923,313,574,95
car,176,0.7073,910,343,502,146
car,197,0.6969,473,140,477,125
car,198,0.5612,475,110,448,102
car,188,0.6488,627,258,454,149
car,204,0.6213,89,252,358,495
car,194,0.6984,471,195,475,139
car,211,0.5851,439,107,409,109
car,146,0.6841,904,364,535,111
car,187,0.6360,910,338,437,150
car,214,0.5556,840,293,474,147
car,203,0.7241,902,372,466,125
car,193,0.6845,902,365,481,125
car,222,0.5727,487,154,509,136
car,207,0.5661,416,119,665,464
car,220,0.5923,470,129,503,114
car,199,0.6243,816,346,510,118
car,201,0.5191,445,165,509,114
car,221,0.5632,485,125,537,120
car,212,0.6396,355,124,502,485
car,202,0.5382,453,152,531,114
car,219,0.7355,921,314,498,146
car,216,0.6689,906,340,533,121
car,210,0.5980,416,114,532,479
car,185,0.5093,864,331,540,121
car,238,0.8774,398,175,427,139
car,227,0.7058,900,372,472,125
car,232,0.6445,466,109,563,118
car,231,0.8341,898,340,489,146
car,230,0.5545,244,134,348,498
car,178,0.5714,895,373,551,103
car,249,0.6998,878,359,402,159
car,245,0.5041,421,108,404,117
car,248,0.5712,408,117,352,123
car,253,0.5863,221,153,539,483
car,252,0.7457,847,347,427,140
car,258,0.7676,405,174,449,133
car,235,0.6786,869,363,495,124
car,254,0.6349,892,299,493,139
car,247,0.6667,897,336,479,131
car,263,0.5274,294,119,259,157
car,262,0.5993,465,129,483,123
car,224,0.6908,907,376,562,132
car,257,0.6464,315,131,513,477
car,228,0.7171,922,338,543,116
car,274,0.6108,875,361,412,174
car,275,0.7083,906,314,503,177
car,120,0.6307,923,316,734,492
car,281,0.7441,911,307,540,192
car,250,0.6300,917,313,589,106
car,208,0.6570,891,336,426,439
car,256,0.5542,497,113,456,128
car,276,0.7715,909,344,472,133
car,260,0.5690,374,118,609,464
car,300,0.5042,433,115,422,107
car,243,0.6484,866,353,419,105
car,288,0.6209,467,110,393,122
car,286,0.5300,469,111,410,107
car,244,0.5071,479,111,472,115
car,289,0.6442,436,119,528,122
car,282,0.5646,247,133,374,489
car,261,0.7085,905,335,552,118
car,272,0.6220,873,362,538,120
car,266,0.5502,499,146,506,135
car,296,0.5513,906,310,512,136
car,298,0.7451,857,353,449,143
car,315,0.5819,439,136,458,132
car,313,0.6733,276,147,236,163
car,229,0.6681,898,281,514,455
car,321,0.7709,918,341,732,286
car,295,0.7120,419,121,619,447
car,239,0.6826,487,111,750,495
car,251,0.5063,451,143,617,107
car,287,0.5798,501,174,625,104
car,299,0.6810,910,339,529,119
car,285,0.5255,909,344,577,114
car,302,0.6024,384,124,739,499
car,327,0.6001,456,150,459,129
car,316,0.6905,247,139,411,490
car,309,0.5533,631,288,466,113
car,317,0.6903,879,330,406,159
car,268,0.6020,921,311,558,125
car,314,0.7455,924,324,560,129
car,330,0.8067,905,330,468,142
car,304,0.6299,918,345,510,121
car,323,0.7004,901,368,489,118
car,301,0.5652,423,114,545,480
car,337,0.5175,201,143,399,433
car,329,0.6770,888,333,470,119
car,332,0.6268,880,279,498,117
car,305,0.6229,862,366,461,157
car,320,0.6504,680,273,514,118
car,311,0.6647,870,360,515,115
car,357,0.7615,98,253,333,488
car,366,0.5461,260,138,248,134
car,338,0.5350,898,316,554,132
car,345,0.5867,890,295,571,122
car,371,0.7000,858,295,552,199
car,373,0.6277,347,122,255,143
car,376,0.7510,920,314,499,177
car,372,0.6726,196,163,534,483
car,359,0.6242,884,306,537,134
car,352,0.5013,396,116,394,468
car,377,0.7392,534,178,506,140
car,393,0.6243,915,341,779,303
car,370,0.7746,904,341,523,128
car,361,0.5230,362,122,481,462
car,369,0.7006,351,125,563,486
car,368,0.5760,229,129,353,499
car,392,0.5553,517,124,532,124
car,360,0.6135,910,342,547,126
car,365,0.6994,911,309,543,126
car,385,0.5368,374,126,734,494
car,380,0.5321,432,115,150,313
car,375,0.5141,847,358,538,111
car,367,0.6966,906,337,570,111
car,391,0.6640,913,328,464,114
car,379,0.6505,525,159,587,110
car,344,0.5658,911,343,577,114
car,398,0.5983,234,134,362,493
car,390,0.5174,845,355,419,120
car,402,0.7347,859,361,453,131
car,331,0.5721,880,352,543,122
car,434,0.6291,860,299,819,287
car,431,0.5611,475,113,452,116
car,419,0.6253,662,294,444,135
car,430,0.6340,463,182,511,200
car,424,0.6141,245,142,542,484
car,411,0.5457,424,141,528,120
car,415,0.5257,467,141,536,118
car,414,0.6930,894,329,513,117
car,427,0.6938,907,300,456,134
car,438,0.7113,603,279,461,131
car,420,0.5152,422,116,846,508
car,445,0.6552,227,136,381,486
car,472,0.5836,447,153,471,164
car,476,0.6267,244,135,225,149
car,437,0.7631,482,120,797,506
car,453,0.5468,346,127,537,483
car,479,0.6099,878,295,824,278
car,462,0.6926,906,342,490,125
car,464,0.6079,896,322,563,129
car,467,0.6358,229,135,392,489
car,406,0.6864,477,190,881,495
car,399,0.5104,882,331,407,112
car,456,0.6385,910,346,497,115
car,409,0.5138,895,284,535,108
car,468,0.7132,344,124,543,479
car,473,0.5373,922,318,478,132
car,469,0.5678,405,121,855,508
car,451,0.5908,863,333,526,121
car,488,0.6067,882,333,458,169
car,482,0.6640,781,269,531,123
car,487,0.6461,849,355,476,127
car,484,0.5683,340,128,532,489
car,497,0.6506,461,141,494,118
car,490,0.6688,518,216,509,129
car,491,0.7134,913,342,511,126
car,489,0.5276,373,120,540,488
car,478,0.6066,941,311,525,120
