ID,Type of Object,Max Confidence,Avg Confidence,On-screen Duration

11,car,0.567976,0.390419,0.0473217
9,car,0.417291,0.308379,0.0878548
12,car,0.64011,0.458911,0.125296
2,car,0.65112,0.287118,0.759407
15,car,0.513135,0.330793,1.27813
19,car,0.551301,0.263773,0.709137
14,car,0.89792,0.625043,1.42302
10,car,0.488704,0.348169,1.48312
2,car,0.291673,0.291673,0
20,car,0.88513,0.665436,1.47616
17,car,0.760653,0.535684,2.17376
23,car,0.871991,0.500202,1.47613
1,car,0.868251,0.713067,2.96279
3,car,0.614454,0.339444,3.045
4,car,0.871823,0.489481,3.16805
21,car,0.855734,0.694559,2.17787
17,car,0.299817,0.272882,0.0408724
23,car,0.386222,0.386222,0
31,car,0.480817,0.307682,0.520793
29,car,0.850268,0.618114,1.39637
24,car,0.899426,0.753543,2.50204
20,car,0.56982,0.44566,1.06343
9,car,0.789212,0.412492,3.61068
8,car,0.935449,0.535861,4.89412
0,car,0.888302,0.572165,5.01437
25,car,0.797834,0.489048,2.66585
19,car,0.705802,0.487437,2.37996
30,car,0.827323,0.538361,1.56091
21,car,0.285192,0.285192,0
23,car,0.21965,0.21965,0
3,car,0.85995,0.583329,1.31296
26,car,0.796862,0.54745,3.36267
4,car,0.464328,0.286634,1.87555
32,car,0.923441,0.702694,2.00908
33,car,0.831368,0.649861,1.39225
30,car,0.647352,0.647352,0
21,car,0.315833,0.305468,0.0394391
16,car,0.891689,0.580783,6.35667
12,car,0.621199,0.318583,5.5364
8,car,0.417657,0.325637,0.0396784
31,car,0.280921,0.241076,0.574146
27,car,0.806191,0.509146,3.9369
38,car,0.319418,0.319418,0
28,car,0.698252,0.306865,4.0192
36,car,0.811767,0.580782,0.984012
9,car,0.653506,0.398221,0.245907
39,car,0.507122,0.311814,0.245918
7,car,0.896951,0.670638,7.22931
22,car,0.875311,0.547194,6.23774
26,car,0.406002,0.305607,0.0644256
35,car,0.546833,0.268768,2.2138
7,car,0.211765,0.211765,0
32,car,0.346798,0.263646,0.921667
40,car,0.861213,0.614333,0.779693
37,car,0.751223,0.505714,1.72203
12,car,0.62226,0.47334,0.124529
41,car,0.861213,0.682653,1.07026
18,car,0.880464,0.563097,8.19964
5,car,0.854805,0.548622,8.99066
39,car,0.268342,0.268342,0
38,car,0.897506,0.684973,7.25925
26,car,0.301714,0.301714,0
3,car,0.719047,0.479772,8.52387
1,car,0.712932,0.460123,11.6534
48,car,0.7834,0.538314,0.284795
43,car,0.575339,0.332058,7.37844
46,car,0.617299,0.33958,1.08227
35,car,0.323683,0.317009,0.732356
7,car,0.741836,0.40036,0.246455
38,car,0.345097,0.296483,0.0813899
