Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final
car,11,0.5606,238,167,674,467
car,21,0.6564,836,291,531,195
car,8,0.6772,255,139,541,474
car,26,0.6533,618,257,441,139
car,23,0.6590,878,358,473,128
car,20,0.7064,911,338,495,129
car,12,0.5817,841,318,587,99
car,39,0.5209,447,116,479,126
car,55,0.6984,892,367,604,250
car,22,0.7101,910,338,509,126
car,9,0.5693,440,114,518,462
car,32,0.6058,366,127,703,475
car,65,0.6334,302,141,277,143
car,41,0.5386,269,130,365,490
car,27,0.7336,916,340,516,124
car,37,0.5526,833,323,509,139
car,31,0.6602,401,122,807,506
car,57,0.6014,347,129,181,185
car,47,0.6372,918,312,554,130
car,61,0.7467,281,139,754,496
car,25,0.5168,543,209,579,111
car,63,0.6683,242,147,560,484
car,48,0.5196,853,355,515,114
car,40,0.5836,425,114,679,471
car,67,0.6865,283,135,508,483
car,82,0.6419,546,132,551,133
car,66,0.6202,827,288,548,128
car,34,0.5467,454,150,563,129
car,62,0.7232,404,122,802,508
car,85,0.7238,890,366,574,244
car,64,0.5620,878,320,541,116
car,68,0.5088,873,360,478,114
car,73,0.5409,273,131,371,488
car,103,0.6839,924,322,844,295
car,92,0.6481,313,134,849,508
car,98,0.5251,899,338,439,161
car,118,0.6652,643,271,545,223
car,94,0.5477,847,358,459,155
car,101,0.6722,919,312,505,172
car,58,0.6478,688,280,361,490
car,119,0.6628,850,357,402,180
car,86,0.5082,872,322,514,189
car,116,0.6089,896,365,430,142
car,96,0.6349,901,339,536,114
car,91,0.6442,903,364,562,133
car,88,0.5229,546,257,486,111
car,106,0.5192,391,120,457,448
car,100,0.5852,442,115,481,457
car,99,0.6918,414,117,553,484
car,107,0.6029,669,270,532,130
car,104,0.5621,833,305,420,114
car,133,0.5486,313,131,686,471
car,157,0.6193,414,114,403,120
car,131,0.5799,906,342,505,127
car,148,0.5308,425,120,329,125
car,122,0.5695,533,216,563,132
car,144,0.6528,844,349,493,123
car,174,0.5536,407,154,478,155
car,162,0.5780,346,130,688,472
car,175,0.6108,228,149,543,483
car,189,0.5533,719,262,587,231
car,173,0.6188,917,343,477,130
