Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final,cluster
car,20,0.8635,101,200,270,34,2
car,22,0.9498,98,336,873,117,0
car,23,0.9523,106,444,871,161,0
car,21,0.9285,104,244,332,34,2
car,27,0.947,129,448,872,168,0
car,26,0.9208,101,248,371,48,2
car,30,0.9505,149,302,870,113,0
car,28,0.9353,113,251,372,52,2
car,31,0.9458,139,441,876,166,0
car,33,0.8918,139,322,872,120,0
car,36,0.9441,146,320,863,127,0
car,35,0.9444,140,431,869,165,0
car,29,0.9209,104,255,349,42,2
car,37,0.9516,144,300,872,116,0
car,32,0.9055,105,259,359,48,2
car,38,0.9544,130,430,853,163,0
car,34,0.914,108,245,358,49,2
car,39,0.9159,150,315,875,119,0
car,41,0.961,128,430,867,156,0
car,43,0.9317,186,307,870,121,0
car,47,0.6321,542,241,744,189,3
car,46,0.8936,154,427,873,162,0
car,45,0.8118,124,304,873,112,0
car,48,0.9444,196,413,870,162,0
bicycle,24,0.6667,584,65,368,77,1
person,40,0.6229,557,58,278,75,1
car,57,0.947,182,428,872,161,0
car,16,0.9338,622,66,99,128,6
car,59,0.9313,180,302,873,114,0
car,12,0.7741,689,72,100,148,6
bicycle,24,0.675,241,87,84,104,2
car,9,0.7609,773,65,103,146,6
car,10,0.8593,727,53,94,120,6
car,65,0.9303,165,288,865,110,0
car,54,0.8262,764,53,91,126,6
car,64,0.8999,699,70,100,147,6
car,61,0.8392,799,52,100,123,6
car,69,0.8756,161,310,876,117,0
car,68,0.9051,770,64,106,147,6
car,72,0.9624,212,407,866,174,0
car,73,0.6185,875,81,771,71,3
car,79,0.9138,737,62,102,144,6
car,82,0.8788,760,62,101,148,6
car,84,0.9173,782,53,107,120,6
car,80,0.9065,786,94,856,458,4
car,15,0.904,728,81,772,496,4
car,91,0.928,768,65,97,144,6
car,83,0.8938,879,81,861,461,4
car,86,0.9035,809,77,731,503,4
car,93,0.9197,764,56,106,122,6
car,90,0.818,788,44,295,21,1
car,92,0.8797,873,81,852,464,4
car,99,0.9023,780,61,120,144,6
car,101,0.7729,781,53,614,62,3
car,96,0.9146,787,54,96,148,6
car,102,0.9317,774,57,152,127,6
car,105,0.9261,766,66,106,153,6
car,107,0.9249,792,48,90,119,6
car,108,0.8498,796,45,339,26,1
car,117,0.9493,862,403,99,201,5
car,122,0.953,851,399,93,206,5
person,118,0.7884,868,212,356,30,5
car,123,0.9319,858,268,271,32,5
bicycle,131,0.5675,664,125,518,74,3
car,133,0.9298,863,281,268,31,5
person,129,0.7629,838,188,360,29,5
car,138,0.9386,862,285,260,30,5
car,144,0.9343,858,272,272,34,5
car,147,0.9438,852,280,260,31,5
person,125,0.7553,876,156,547,55,3
car,151,0.9494,828,269,255,30,5
car,55,0.9364,143,27,825,465,7
car,155,0.9268,850,246,338,28,5
car,146,0.875,89,26,725,492,7
car,110,0.895,146,22,834,462,7
car,114,0.777,788,45,654,60,3
car,167,0.9608,108,455,868,162,0
car,169,0.9487,103,346,876,116,0
car,171,0.9377,105,250,349,43,2
car,175,0.9585,103,328,873,122,0
car,174,0.938,102,239,344,44,2
car,186,0.5102,592,170,701,148,3
car,180,0.9252,128,434,866,124,0
car,187,0.9536,128,313,874,115,0
car,179,0.9245,107,248,318,30,2
car,182,0.9412,124,234,342,40,2
car,193,0.74,187,294,873,120,0
car,190,0.9039,121,427,875,153,0
car,194,0.9506,128,420,866,157,0
car,195,0.9604,143,303,872,113,0
car,197,0.9514,146,429,867,164,0
car,202,0.9452,141,313,875,114,0
car,201,0.9613,164,422,871,163,0
car,206,0.8915,167,430,870,163,0
car,207,0.929,149,310,875,112,0
car,113,0.9251,798,63,100,145,6
car,212,0.9465,163,421,868,160,0
car,177,0.5982,725,49,263,91,1
car,165,0.6585,778,69,132,141,6
car,172,0.7035,684,53,164,102,6
car,238,0.9516,192,424,871,165,0
car,234,0.8804,741,63,119,140,6
car,231,0.9109,736,54,102,139,6
car,220,0.6092,85,29,93,39,2
car,245,0.9305,191,418,874,168,0
car,239,0.5259,750,82,751,80,3
car,240,0.9100,745,67,92,146,6
car,244,0.9063,756,54,101,127,6
car,111,0.8904,877,81,778,83,3
car,248,0.9408,175,431,870,161,0
car,208,0.8395,81,27,91,51,2
car,210,0.9081,147,27,181,42,2
car,199,0.5844,84,16,85,17,2
car,228,0.5383,103,40,101,41,2
car,230,0.8573,201,29,249,46,2
car,241,0.6666,153,34,153,33,2
car,250,0.6459,618,66,522,74,3
car,196,0.6355,86,30,84,70,2
car,254,0.6366,589,275,589,275,3
car,253,0.5714,574,265,574,265,3
car,255,0.7320,596,269,596,269,3
car,249,0.8305,750,61,590,79,3
car,247,0.8777,764,65,222,168,6
car,261,0.5370,351,85,350,86,2
car,239,0.7328,747,82,612,75,3
car,13,0.8217,410,83,410,83,1
car,7,0.5683,276,83,275,83,2
car,8,0.5556,396,80,396,80,1
car,11,0.8036,377,76,378,76,2
car,14,0.9059,652,63,652,63,3
bicycle,25,0.5051,587,64,583,64,3
car,18,0.6285,699,71,698,72,3
car,20,0.8635,101,200,270,34,2
car,22,0.9498,98,336,873,117,0
