ID,x_initial,y_initial,x_final,y_final,cluster,,X,Y,ID,Cluster,x_c0,y_c0,x_c1,y_c1,x_c2,y_c2,x_c3,y_c3,x_c4,y_c4,,,,,Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final,cluster,,,X,Y,ID,Cluster,,,,
24,499,10,513,54,1,,335,60,36,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,335,60,#N/A,#N/A,,,,,car,24,0.758,499,10,513,54,1,,,,,,,,,,
36,323,14,335,60,3,,910,59,9,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,910,59,,,,,car,36,0.649,323,14,335,60,3,,,,,,,,,,
9,910,59,952,132,4,,500,76,62,1,#N/A,#N/A,500,76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,person,9,0.610,910,59,952,132,4,,,,,,,,,,
62,499,73,500,76,1,,621,35,54,1,#N/A,#N/A,621,35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,62,0.917,499,73,500,76,1,,,,,,,,,,
54,621,35,664,53,1,,674,479,44,2,#N/A,#N/A,#N/A,#N/A,674,479,#N/A,#N/A,#N/A,#N/A,,,,,car,54,0.701,621,35,664,53,1,,,,,,,,,,
44,530,50,674,479,2,,514,82,61,1,#N/A,#N/A,514,82,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,44,0.855,530,50,674,479,2,,,,,,,,,,
61,514,82,505,90,1,,392,488,48,0,392,488,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,61,0.908,514,82,505,90,1,,,,,,,,,,
48,534,67,392,488,0,,790,50,67,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,790,50,,,,,car,48,0.870,534,67,392,488,0,,,,,,,,,,
67,790,50,765,47,4,,539,55,70,1,#N/A,#N/A,539,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,67,0.817,790,50,765,47,4,,,,,,,,,,
70,529,53,539,55,1,,550,19,38,2,#N/A,#N/A,#N/A,#N/A,550,19,#N/A,#N/A,#N/A,#N/A,,,,,car,70,0.905,529,53,539,55,1,,,,,,,,,,
38,550,19,904,436,2,,811,56,75,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,811,56,,,,,car,38,0.829,550,19,904,436,2,,,,,,,,,,
75,824,57,811,56,4,,496,45,73,1,#N/A,#N/A,496,45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,75,0.735,824,57,811,56,4,,,,,,,,,,
73,496,45,496,46,1,,398,500,52,0,398,500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,73,0.805,496,45,496,46,1,,,,,,,,,,
52,510,68,398,500,0,,531,38,51,1,#N/A,#N/A,531,38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,52,0.874,510,68,398,500,0,,,,,,,,,,
51,531,38,537,38,1,,341,489,64,0,341,489,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,51,0.808,531,38,537,38,1,,,,,,,,,,
64,507,92,341,489,0,,512,68,56,0,512,68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,64,0.850,507,92,341,489,0,,,,,,,,,,
56,512,68,79,474,0,,910,444,59,2,#N/A,#N/A,#N/A,#N/A,910,444,#N/A,#N/A,#N/A,#N/A,,,,,car,56,0.876,512,68,79,474,0,,,,,,,,,,
59,560,64,910,444,2,,494,46,68,1,#N/A,#N/A,494,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,59,0.861,560,64,910,444,2,,,,,,,,,,
68,494,46,493,28,1,,528,42,60,1,#N/A,#N/A,528,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,68,0.785,494,46,493,28,1,,,,,,,,,,
60,553,53,528,42,1,,588,49,80,1,#N/A,#N/A,588,49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,60,0.878,553,53,528,42,1,,,,,,,,,,
80,588,49,588,49,1,,574,30,79,1,#N/A,#N/A,574,30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,80,0.825,588,49,588,49,1,,,,,,,,,,
79,569,29,574,30,1,,547,25,78,1,#N/A,#N/A,547,25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,79,0.769,569,29,574,30,1,,,,,,,,,,
78,547,25,551,25,1,,580,40,77,1,#N/A,#N/A,580,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,78,0.781,547,25,551,25,1,,,,,,,,,,
