Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final,cluster
car,20,0.8635,101,200,270,34,3
car,22,0.9498,98,336,873,117,1
car,23,0.9523,106,444,871,161,1
car,21,0.9285,104,244,332,34,3
car,27,0.947,129,448,872,168,1
car,26,0.9208,101,248,371,48,3
car,30,0.9505,149,302,870,113,1
car,28,0.9353,113,251,372,52,3
car,31,0.9458,139,441,876,166,1
car,33,0.8918,139,322,872,120,1
car,36,0.9441,146,320,863,127,1
car,35,0.9444,140,431,869,165,1
car,29,0.9209,104,255,349,42,3
car,37,0.9516,144,300,872,116,1
car,32,0.9055,105,259,359,48,3
car,38,0.9544,130,430,853,163,1
person,19,0.6886,646,49,557,55,9
car,34,0.914,108,245,358,49,3
car,39,0.9159,150,315,875,119,1
car,41,0.961,128,430,867,156,1
car,43,0.9317,186,307,870,121,1
car,47,0.6321,542,241,744,189,2
car,46,0.8936,154,427,873,162,1
car,45,0.8118,124,304,873,112,1
car,48,0.9444,196,413,870,162,1
bicycle,24,0.6667,584,65,368,77,9
car,50,0.5631,772,57,688,70,2
car,53,0.5094,739,59,695,60,2
person,40,0.6229,557,58,278,75,9
car,57,0.947,182,428,872,161,1
car,16,0.9338,622,66,99,128,0
car,59,0.9313,180,302,873,114,1
car,12,0.7741,689,72,100,148,0
person,63,0.6394,108,95,84,99,6
bicycle,24,0.675,241,87,84,104,6
car,62,0.5726,776,64,695,68,2
car,9,0.7609,773,65,103,146,0
car,10,0.8593,727,53,94,120,0
car,65,0.9303,165,288,865,110,1
car,54,0.8262,764,53,91,126,0
car,64,0.8999,699,70,100,147,0
car,61,0.8392,799,52,100,123,0
car,69,0.8756,161,310,876,117,1
car,68,0.9052,770,64,106,147,0
car,72,0.9624,212,407,866,174,1
car,75,0.5517,826,78,801,83,2
car,80,0.569,790,83,770,70,2
car,79,0.9138,737,62,102,144,0
car,82,0.8788,760,62,101,148,0
car,75,0.6882,792,75,743,76,2
car,42,0.8073,86,28,80,75,6
car,84,0.9173,782,53,107,120,0
car,73,0.8169,875,81,856,458,4
car,78,0.6395,84,32,87,54,6
car,15,0.904,728,81,771,496,4
car,91,0.928,768,65,97,144,0
car,83,0.8938,879,81,861,461,4
car,86,0.9035,809,77,731,503,4
car,93,0.9197,764,56,106,122,0
car,90,0.818,788,44,295,21,8
car,92,0.8797,873,81,852,464,4
car,99,0.9023,780,61,120,144,0
car,101,0.7729,781,53,614,62,2
car,96,0.9146,787,54,96,148,0
car,102,0.9317,774,57,152,127,0
car,97,0.8738,874,77,863,145,2
car,105,0.9261,766,66,106,153,0
car,107,0.9249,792,48,90,119,0
car,108,0.8498,796,45,339,26,8
car,119,0.5232,829,44,807,37,2
car,117,0.9493,862,403,99,201,10
car,85,0.7885,89,55,80,75,6
car,122,0.953,851,399,93,206,10
bicycle,131,0.6939,769,192,701,156,2
car,87,0.7203,84,36,80,67,6
person,118,0.7884,868,212,356,30,5
car,123,0.9319,858,268,271,32,5
bicycle,131,0.5675,664,125,518,74,9
car,133,0.9298,863,281,268,31,5
person,129,0.7629,838,188,360,29,5
car,89,0.8359,83,27,87,61,6
car,138,0.9386,862,285,260,30,5
car,143,0.6655,88,37,80,66,6
car,144,0.9343,858,272,272,34,5
car,147,0.9438,852,280,260,31,5
person,125,0.7553,876,156,547,55,2
car,151,0.9494,828,269,255,30,5
car,55,0.9364,143,27,825,464,7
car,155,0.9268,850,246,338,28,5
car,146,0.875,89,26,725,492,7
car,110,0.895,146,22,834,462,7
person,159,0.5506,475,42,432,34,9
car,164,0.8512,82,27,81,68,6
car,120,0.7506,797,44,726,49,2
car,114,0.777,788,45,654,60,2
car,167,0.9608,108,455,868,162,1
car,169,0.9487,103,346,876,116,1
car,166,0.7638,79,26,80,65,6
car,171,0.9377,105,250,349,43,3
car,175,0.9585,103,328,873,122,1
car,13,0.8217,410,83,410,83,9
car,7,0.5683,276,83,275,83,3
car,8,0.5556,396,80,396,80,9
car,11,0.8036,377,76,378,76,9
car,14,0.9059,652,63,652,63,2
bicycle,25,0.5051,587,64,583,64,9
car,18,0.6285,699,71,698,72,2
car,20,0.8635,101,200,270,34,3
car,22,0.9498,98,336,873,117,1
car,23,0.9523,106,444,871,161,1
car,21,0.9285,104,244,332,34,3
car,27,0.9470,129,448,872,168,1
car,26,0.9208,101,248,371,48,3
car,30,0.9505,149,302,870,113,1
car,28,0.9353,113,251,372,52,3
car,31,0.9458,139,441,876,166,1
car,33,0.8918,139,322,872,120,1
car,36,0.9441,146,320,863,127,1
car,35,0.9444,140,431,869,165,1
car,29,0.9209,104,255,349,42,3
car,37,0.9516,144,300,872,116,1
car,32,0.9055,105,259,359,48,3
car,38,0.9544,130,430,853,163,1
person,19,0.6886,646,49,557,55,9
car,35,0.6625,862,152,871,153,2
car,34,0.9140,108,245,358,49,3
car,39,0.9159,150,315,875,119,1
car,41,0.9610,128,430,867,156,1
car,43,0.9317,186,307,870,121,1
car,47,0.6321,542,241,744,189,2
person,49,0.5176,502,56,502,56,9
car,46,0.8936,154,427,873,162,1
car,45,0.8118,124,304,873,112,1
car,48,0.9444,196,413,870,162,1
car,58,0.5419,747,54,747,54,2
bicycle,24,0.6667,584,65,368,77,9
car,50,0.5631,772,57,688,70,2
car,53,0.5094,739,59,695,60,2
car,60,0.5167,708,55,703,56,2
person,40,0.6229,557,58,278,75,9
car,57,0.9470,182,428,872,161,1
car,16,0.9338,622,66,99,128,0
car,59,0.9313,180,302,873,114,1
car,12,0.7741,689,72,100,148,0
person,63,0.6394,108,95,84,99,6
bicycle,24,0.6750,241,87,84,104,6
car,62,0.5726,776,64,695,68,2
car,9,0.7609,773,65,103,146,0
car,10,0.8593,727,53,94,120,0
car,65,0.9303,165,288,865,110,1
car,54,0.8262,764,53,91,126,0
car,64,0.8999,699,70,100,147,0
car,70,0.6493,871,67,858,69,2
car,61,0.8392,799,52,100,123,0
car,71,0.5458,847,41,847,41,2
car,69,0.8756,161,310,876,117,1
car,68,0.9051,770,64,106,147,0
car,72,0.9624,212,407,866,174,1
car,76,0.5895,93,50,89,55,6
car,75,0.5517,826,78,801,83,2
car,77,0.5856,763,86,751,81,2
car,73,0.6185,875,81,771,71,2
car,79,0.9138,737,62,102,144,0
car,81,0.5209,81,25,85,36,6
car,82,0.8788,760,62,101,148,0
car,75,0.6892,792,75,743,76,2
car,42,0.8073,86,28,80,75,6
car,84,0.9173,782,53,107,120,0
car,80,0.9065,786,94,856,458,4
car,78,0.6395,84,32,87,54,6
car,15,0.9040,728,81,771,496,4
