Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final
car,1150,0.7420126795768738,571,18,900,439
car,1151,0.793881893157959,560,4,911,451
car,1153,0.7949760556221008,524,3,691,495
car,1164,0.5978946685791016,538,11,552,13
car,1174,0.7291694283485413,343,25,340,26
car,1156,0.8075506091117859,530,7,644,378
car,1176,0.5837748646736145,314,36,319,41
car,1179,0.6328679323196411,476,21,475,27
car,1181,0.6336491107940674,357,39,363,42
car,1171,0.8112664222717285,526,22,523,28
car,1157,0.8007494807243347,508,3,411,469
car,1155,0.7881125807762146,484,3,406,488
car,1166,0.7069302201271057,523,6,539,29
car,1184,0.6648484468460083,481,40,484,44
car,1180,0.7729270458221436,510,41,519,42
car,1175,0.8174849152565002,540,13,548,46
car,1177,0.7815059423446655,507,37,510,59
car,1160,0.7915319800376892,539,12,644,477
car,1187,0.9075652360916138,552,49,562,65
car,1163,0.8308934569358826,545,3,882,447
car,1161,0.8193368911743164,561,3,888,458
car,1159,0.7614325881004333,569,5,901,472
car,1162,0.8276649713516235,478,4,94,484
car,1197,0.7823434472084045,556,74,546,75
car,1192,0.7587125897407532,486,56,487,57
person,1135,0.5189305543899536,917,18,951,138
car,1158,0.7578352093696594,499,10,513,54
car,1170,0.6493972539901733,323,14,335,60
car,1196,0.9174989461898804,499,73,500,76
person,1143,0.6104312539100647,910,59,952,132
car,1188,0.701155424118042,621,35,664,53
car,1178,0.8550112843513489,530,50,674,479
car,1195,0.9075107574462891,514,82,505,90
car,1182,0.8701410293579102,534,67,392,488
car,1201,0.8168818354606628,790,50,765,47
car,1204,0.9046515226364136,529,53,539,55
car,1172,0.8285874724388123,550,19,904,436
car,1209,0.7345619201660156,824,57,811,56
car,1207,0.8052892684936523,496,45,496,46
car,1186,0.87398362159729,510,68,398,500
car,1185,0.8082993626594543,531,38,537,38
car,1198,0.8498668670654297,507,92,341,489
car,1190,0.8755447864532471,512,68,79,474
car,1193,0.8613420128822327,560,64,910,444
car,1202,0.7854517102241516,494,46,493,28
car,1194,0.8783109784126282,553,53,528,42
car,1214,0.8246846199035645,588,49,588,49
car,1213,0.7688611745834351,569,29,574,30
car,1212,0.7807466387748718,547,25,551,25
car,1211,0.8797468543052673,573,46,580,40
car,1210,0.8143121004104614,531,28,532,25
car,1208,0.9026408791542053,572,48,598,59
car,1205,0.9297543168067932,528,55,493,67
car,1203,0.8930281400680542,565,40,578,34
car,1200,0.8765844106674194,517,43,528,42
car,1199,0.8394953608512878,556,43,551,37
car,1191,0.9070747494697571,532,51,576,110
car,1189,0.8822326064109802,516,69,468,241
car,1183,0.8911827206611633,513,53,526,52
car,1169,0.927953839302063,478,6,503,41
car,1168,0.8159908056259155,298,8,305,46
car,1165,0.7806773781776428,253,7,259,51
car,1206,0.8933607339859009,522,63,509,94
car,1147,0.6993579864501953,190,9,212,60
car,1139,0.7897051572799683,82,13,95,75
car,1173,0.8710544109344482,527,37,667,418
car,1215,0.7465125322341919,680,78,911,406
car,1217,0.6112927794456482,144,14,189,24
car,1218,0.8105205297470093,477,7,279,512
car,1221,0.7981922030448914,555,6,923,464
car,1219,0.7956891655921936,518,7,914,450
car,1225,0.7829234004020691,480,5,312,512
car,1223,0.7636339664459229,511,4,680,510
car,1227,0.7703429460525513,522,20,680,527
car,1233,0.7864924073219299,520,4,642,403
car,1229,0.7478840351104736,527,11,671,447
car,1231,0.7420126795768738,571,18,900,439
car,1232,0.793881893157959,560,4,911,451
car,1234,0.7949760556221008,524,3,691,495
car,1245,0.5978946685791016,538,11,552,13
car,1255,0.7291694283485413,343,25,340,26
car,1237,0.8075506091117859,530,7,644,378
car,1257,0.5837748646736145,314,36,319,41
car,1260,0.6328679323196411,476,21,475,27
car,1262,0.6336491107940674,357,39,363,42
car,1252,0.8112664222717285,526,22,523,28
car,1238,0.8007494807243347,508,3,411,469
car,1236,0.7881125807762146,484,3,406,488
car,1247,0.7069302201271057,523,6,539,29
car,1265,0.6648484468460083,481,40,484,44
car,1261,0.7729270458221436,510,41,519,42
car,1256,0.8174849152565002,540,13,548,46
car,1258,0.7815059423446655,507,37,510,59
car,1241,0.7915319800376892,539,12,644,477
car,1268,0.9075652360916138,552,49,562,65
car,1244,0.8308934569358826,545,3,882,447
car,1242,0.8193368911743164,561,3,888,458
car,1243,0.8276649713516235,478,4,94,484
car,1240,0.7614325881004333,569,5,901,472
car,1278,0.7823434472084045,556,74,546,75
