Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final,cluster
car,10062,0.5618,253,158,674,467,1
car,11,0.5593,245,162,674,467,1
car,10075,0.6564,836,291,531,195,0
car,22,0.6564,836,291,531,195,0
car,3,0.6704,268,136,541,474,3
car,10068,0.6712,268,136,541,474,3
car,10059,0.5826,741,291,554,114,0
car,10080,0.6533,618,257,441,139,2
car,27,0.6533,618,257,441,139,2
car,10077,0.659,878,358,473,128,0
car,10074,0.7064,911,338,495,129,0
car,21,0.7064,911,338,495,129,0
car,24,0.659,878,358,473,128,0
car,12,0.5849,911,340,587,99,0
car,10093,0.5209,447,116,479,126,2
car,40,0.5209,447,116,479,126,2
car,10109,0.6984,892,367,604,250,0
car,56,0.6984,892,367,604,250,0
car,10076,0.7101,910,338,509,126,0
car,23,0.7101,910,338,509,126,0
car,13,0.5687,441,113,518,462,3
car,10071,0.5687,441,113,518,462,3
car,10086,0.6058,366,127,703,475,1
car,33,0.6058,366,127,703,475,1
car,10088,0.6331,454,150,524,120,2
car,35,0.6331,454,150,524,120,2
car,66,0.6334,302,141,277,143,4
car,10119,0.6334,302,141,277,143,4
car,10095,0.5386,269,130,365,490,3
car,42,0.5386,269,130,365,490,3
car,26,0.5713,543,209,542,117,2
car,10079,0.5713,543,209,542,117,2
car,10081,0.7336,916,340,516,124,0
car,28,0.7336,916,340,516,124,0
car,38,0.5526,833,323,509,139,0
car,10091,0.5526,833,323,509,139,0
car,10085,0.6602,401,122,807,506,1
car,32,0.6602,401,122,807,506,1
car,58,0.6014,347,129,181,185,4
car,10111,0.6014,347,129,181,185,4
car,48,0.6372,918,312,554,130,0
car,10101,0.6372,918,312,554,130,0
car,10115,0.7467,281,139,754,496,1
car,62,0.7467,281,139,754,496,1
car,10117,0.6683,242,147,560,484,3
car,64,0.6683,242,147,560,484,3
car,49,0.5196,853,355,515,114,0
car,10102,0.5196,853,355,515,114,0
car,41,0.6596,358,126,679,471,1
car,10094,0.6596,358,126,679,471,1
car,10121,0.6865,283,135,508,483,3
car,68,0.6865,283,135,508,483,3
car,10136,0.6419,546,132,551,133,2
car,83,0.6419,546,132,551,133,2
car,10120,0.6202,827,288,548,128,0
car,67,0.6202,827,288,548,128,0
car,10116,0.7232,404,122,802,508,1
car,63,0.7232,404,122,802,508,1
car,10139,0.7238,890,366,574,244,0
car,86,0.7238,890,366,574,244,0
car,10118,0.562,878,320,541,116,0
car,65,0.562,878,320,541,116,0
car,10122,0.5088,873,360,478,114,0
car,69,0.5088,873,360,478,114,0
car,10127,0.5409,273,131,371,488,3
car,74,0.5409,273,131,371,488,3
car,10157,0.6839,924,322,844,295,0
car,104,0.6839,924,322,844,295,0
car,10142,0.5561,546,257,480,116,2
car,89,0.5561,546,257,480,116,2
car,10146,0.6481,313,134,849,508,1
car,93,0.6481,313,134,849,508,1
car,99,0.5251,899,338,439,161,0
car,10152,0.5251,899,338,439,161,0
car,87,0.5259,872,322,543,107,0
car,119,0.6652,643,271,545,223,2
car,10172,0.6652,643,271,545,223,2
car,10140,0.5259,872,322,543,107,0
car,95,0.5477,847,358,459,155,0
car,10148,0.5477,847,358,459,155,0
car,10155,0.6722,919,312,505,172,0
car,102,0.6722,919,312,505,172,0
car,10112,0.6478,688,280,361,490,5
car,59,0.6478,688,280,361,490,5
car,120,0.6628,850,357,402,180,0
car,10173,0.6628,850,357,402,180,0
car,97,0.6759,901,339,512,123,0
car,105,0.5948,833,305,468,139,0
car,10158,0.5948,833,305,468,139,0
car,123,0.7638,533,216,470,137,2
car,10176,0.7638,533,216,470,137,2
car,117,0.6089,896,365,430,142,0
car,10170,0.6089,896,365,430,142,0
car,10150,0.6349,901,339,536,114,0
